firstName,lastName,prefix,suffix,alternateSpellings,sourceNames,roles
John,Bull,,,,John Bull,deed
John G.,Bull,,,,John G. Bull,deed
Sarah,Bull,,,,Sarah Bull,deed
Thomas,Burch,,,,Thomas Burch,deed
Catherine,Bush,,,Catharine Bush,Catharine Bush|Catherine Bush,deed
Henry,Bush,,,,Henry Bush,deed
Jacob,Bush,,,,Jacob Bush,deed
Philip,Bush,,,,Philip Bush,deed
Joseph,Butler,,,,Joseph Butler,deed
Mary,Butler,,,,Mary Butler,deed
Norman,Butler,,,,Norman Butler,deed
Thomas,Butler,,,,Thomas Butler,deed
William,Butt,,,,William Butt,deed
John,Butterwa,,,,John Butterwa,deed
Simeon,Buxxard,,,,Simeon Buxxard,deed
Frederick,Buzzard,,,,Frederick Buzzard,deed
Simon,Buzzard,,,,Simon Buzzard,deed
Susanna,Buzzard,,,,Susanna Buzzard,deed
Ann,Byers,,,,Ann Byers,taxes
Benjamin,Byers,,,,Benjamin Byers,neighbor
Elizabeth,Byers,,,,Elizabeth Byers,deed
John,Byers,,,John Bryers,John Bryers|John Byers,deed|neighbor
Joseph,Byers,,,,Joseph Byers,deed
Martha,Byers,,,,Martha Byers,deed
Samuel,Byers,,,,Samuel Byers,deed|neighbor
Peter,Caffery,,,,Peter Caffery,atlas
John,Cain,,,,John Cain,deed
Mary,Cain,,,,Mary Cain,deed
Margaret,Calaghan,,,,Margaret Calaghan,deed
Patrick,Calaghan,,,,Patrick Calaghan,deed
James,Callaghan,,,,James Callaghan,deed
James,Campbell,,,,James Campbell,deed
Samuel,Canby,,,,Samuel Canby,deed
William,Caneford,,,,William Caneford,deed
Philip,Card,,,,Philip Card,deed
Sarah,Card,,,,Sarah Card,deed
Hannah,Carpenter,,,,Hannah Carpenter,deed
James,Carpenter,,,,James Carpenter,patent
Joshua,Carpenter,,,,Joshua Carpenter,deed|neighbor
Samuel,Carpenter,,,,Samuel Carpenter,deed|neighbor
Ann,Carrell,,,Ann Carrell (Flinn)|Flinn,Ann Carrell (Flinn),deed
Patrick,Carrigan,,,,Patrick Carrigan,deed
Daniel,Carter,,,,Daniel Carter,deed
Phoebe,Carter,,,,Phoebe Carter,deed
William,Carter,,,,William Carter,deed
Andrew,Carty,,,,Andrew Carty,deed
Isaac,Cassel,,,,Isaac Cassel,deed
Edward,Catherel,,,,Edward Catherel,deed|patent
Catherine,Caughlin,,,,Catherine Caughlin,deed
Charles,Caughlin,,,,Charles Caughlin,deed
Thomas,Chalkley,,,,Thomas Chalkley,deed|patent
Mary,Chamberlain,,,,Mary Chamberlain,deed
Ruth,Chandler,,,,Ruth Chandler,deed
William,Chandler,,,,William Chandler,deed
David,Childerick,,,,David Childerick,deed
Mary,Childerick,,,,Mary Childerick,deed
Elizabeth,Chrisman,,,,Elizabeth Chrisman,deed
George,Chrisman,,,,George Chrisman,deed
Henry,Chrisman,,,,Henry Chrisman,deed
John,Chrisman,,,,John Chrisman|JOhn Chrisman,deed
David,Christie,,,,David Christie,deed
John,Christie,,,,John Christie,deed
George,Christman,,,,George Christman,deed
Isaac,Christman,,,,Isaac Christman,deed|neighbor
John,Christman,,,,John Christman,deed
Robert,Christman,,,,Robert Christman,deed
Philip,Clare,,,,Philip Clare,deed|neighbor
James,Clark,,,,James Clark,deed
Geridias,Clarkson,,,,Geridias Clarkson,deed
Mary,Clarkson,,,,Mary Clarkson,deed
Joseph,Clay,,,,Joseph Clay,deed
Hiram,Cleaver,,,,Hiram Cleaver,deed
Jane,Cleaver,,,,Jane Cleaver,deed
David,Clemens,,,,David Clemens,deed
Elizabeth,Clemens,,,,Elizabeth Clemens,deed
George,Clemens,,,,George Clemens,deed|neighbor
Jacob,Clemens,,,,Jacob Clemens,deed
William,Clemson,,,,William Clemson,deed
Henry,Clevenstine,,,,Henry Clevenstine,deed
John,Clevenstine,,,,John Clevenstine,deed
Sarah Ann,Clevenstine,,,,Sarah Ann Clevenstine,deed
Edward,Clift,,,,Edward Clift,deed
Hannah,Clift,,,,Hannah Clift,deed
John,Clift,,,,John Clift,deed
Daniel,Clower,,,,Daniel Clower,deed
John,Clower,,,,John Clower,deed|neighbor
John,Clowers,,,,John Clowers,neighbor
James,Cloyd,,,,James Cloyd,deed|neighbor
Aaron,Coates,,,,Aaron Coates,deed|neighbor
Ann,Coates,,,,Ann Coates,deed
Benjamin,Coates,,,,Benjamin Coates,deed|neighbor
Elizabeth,Coates,,,,Elizabeth Coates,deed
Hannah,Coates,,,,Hannah Coates,deed
Henry,Coates,,,,Henry Coates,deed
Jane,Coates,,,,Jane Coates,deed
John H.,Coates,,,,John H. Coates,deed
Jonathan,Coates,,,,Jonathan Coates,deed|neighbor
